Date,Close,High,Low,Open,Volume,RSI,Stoch,EMA_20,MACD,BB_upper,BB_lower,ATR,OBV,Volume_SMA_20,Log_Returns,Target
2015-01-30,34.5583,35.5677,34.5156,35.5421,78004900,23.4143,0.6614,38.4172,-0.9919,42.5794,35.2863,1.2287,-378430100,45948340.0,-0.0391,1
2015-02-02,35.3111,35.3881,34.4129,34.7208,50352500,29.6324,13.6718,38.1214,-1.1104,42.6467,34.7503,1.2263,-328077600,47070270.0,0.0215,1
2015-02-03,35.5848,35.8671,35.1144,35.6105,52082400,31.8874,19.1343,37.8798,-1.1688,42.6524,34.34,1.167,-275995200,47690695.0,0.0077,1
2015-02-04,35.7901,36.1066,35.3795,35.8757,41614800,34.1294,22.4861,37.6808,-1.1848,42.6506,34.0159,1.1737,-234380400,47949040.0,0.0058,1
2015-02-05,36.3119,36.4744,35.8072,36.1152,36548200,38.4439,31.0056,37.5504,-1.1423,42.5397,33.8034,1.1633,-197832200,48320745.0,0.0145,0
2015-02-06,36.2777,36.6027,36.0553,36.5087,34616600,34.5441,30.447,37.4292,-1.0986,42.2248,33.6752,1.1346,-232448800,48569315.0,-0.0009,0
2015-02-09,36.2349,36.56,36.1066,36.1323,31381100,33.6046,29.7488,37.3155,-1.0553,41.9248,33.5621,1.101,-263829900,48941160.0,-0.0012,1
2015-02-10,36.4402,36.5856,36.081,36.56,29670700,36.2355,33.1007,37.2321,-0.993,41.6679,33.4768,1.0815,-234159200,49242100.0,0.0056,1
2015-02-11,36.252,36.483,36.1066,36.483,38262500,28.5458,30.0283,37.1388,-0.9478,41.4151,33.3892,1.0338,-272421700,49391695.0,-0.0052,1
2015-02-12,36.8594,36.8594,36.3632,36.4915,33268800,32.566,41.4495,37.1122,-0.8532,41.1951,33.3637,1.0411,-239152900,49569155.0,0.0166,1
2015-02-13,37.5266,37.5266,36.9107,37.1074,40264900,37.2771,100.0,37.1516,-0.7162,41.0537,33.3673,1.0314,-198888000,49944860.0,0.0179,0
2015-02-17,37.5438,37.9056,37.2078,37.8798,33695700,57.6787,89.6406,37.189,-0.5992,40.7971,33.4229,0.7818,-165192300,49844880.0,0.0005,0
2015-02-18,37.5007,37.6472,37.3801,37.5869,27111700,70.1032,88.4072,37.2187,-0.5042,40.4915,33.5104,0.7013,-192304000,49392370.0,-0.0011,1
2015-02-19,37.4749,37.5007,37.0872,37.1992,27603400,65.5117,87.6673,37.2431,-0.4261,40.2428,33.5785,0.6496,-219907400,48818485.0,-0.0007,1
2015-02-20,37.785,37.8023,37.294,37.4835,29721100,91.4226,96.5469,37.2947,-0.3353,39.7433,33.825,0.5845,-190186300,48509640.0,0.0082,0
2015-02-23,38.0349,38.0693,37.6041,37.6472,32518800,90.1509,98.8339,37.3652,-0.2404,39.186,34.15,0.548,-157667500,48825000.0,0.0066,0
2015-02-24,37.9832,38.1641,37.8367,38.0349,25271700,87.8302,93.503,37.424,-0.1674,38.5583,34.5548,0.5176,-182939200,47962310.0,-0.0014,0
2015-02-25,37.897,37.9832,37.7333,37.8626,29759800,84.531,88.6687,37.4691,-0.1152,38.7158,34.5379,0.4836,-212699000,40992100.0,-0.0023,0
2015-02-26,37.9573,38.1038,37.8109,37.897,28957300,81.774,90.1957,37.5156,-0.0682,38.8245,34.7014,0.4556,-183741700,38214610.0,0.0016,0
2015-02-27,37.7764,38.0779,37.6127,38.0176,33807700,77.389,81.3895,37.5404,-0.045,38.9254,34.7847,0.4497,-217549400,36725730.0,-0.0048,0
2015-03-02,37.8023,38.0693,37.518,37.6213,31924000,78.821,82.6304,37.5654,-0.0243,38.8211,35.2133,0.4567,-185625400,34421685.0,0.0007,0
2015-03-03,37.2854,37.7592,37.1217,37.5266,31748600,63.9431,57.2908,37.5387,-0.049,38.7331,35.4987,0.4693,-217374000,33491490.0,-0.0138,0
